symbol,trade_date,lastest_price,ths_option_code_option,ths_underlying_code_option,ths_maturity_date_option,option_type,strike_price,underlying_price,trading_days_left,tenor_bucket,T,call_price,put_price,F,log_moneyness,moneyness_bucket,standardised_residual,daily_mispricing_signal
HO2301-C-2325.CFE,2023-01-03,330.9,HO2301-C-2325,000016.SH,20230120,C,2325.0,2645.4828,13,ST,0.0537190082644628,330.9,0.3,2655.7557867192168,-0.1330092405760331,PW,0.6222425826368135,-0.299681903434339
HO2301-P-2325.CFE,2023-01-03,0.3,HO2301-P-2325,000016.SH,20230120,P,2325.0,2645.4828,13,ST,0.0537190082644628,330.9,0.3,2655.7557867192168,-0.1330092405760331,PW,0.6222425826368135,-0.299681903434339
HO2302-C-2325.CFE,2023-01-03,337.5,HO2302-C-2325,000016.SH,20230217,C,2325.0,2645.4828,28,ST,0.1157024793388429,337.5,2.4000000000000004,2660.923325887768,-0.1349531385192171,PW,0.4492326978423978,0.4506454587565484
HO2302-P-2325.CFE,2023-01-03,2.4000000000000004,HO2302-P-2325,000016.SH,20230217,P,2325.0,2645.4828,28,ST,0.1157024793388429,337.5,2.4000000000000004,2660.923325887768,-0.1349531385192171,PW,0.4492326978423978,0.4506454587565484
HO2303-C-2325.CFE,2023-01-03,342.5,HO2303-C-2325,000016.SH,20230317,C,2325.0,2645.4828,48,MT,0.1983471074380165,342.5,5.5,2663.522646809597,-0.1359295109499462,PW,0.3213624036550623,0.1822271289993041
HO2303-P-2325.CFE,2023-01-03,5.5,HO2303-P-2325,000016.SH,20230317,P,2325.0,2645.4828,48,MT,0.1983471074380165,342.5,5.5,2663.522646809597,-0.1359295109499462,PW,0.3213624036550623,0.1822271289993041
HO2301-C-2350.CFE,2023-01-03,306.2,HO2301-C-2350,000016.SH,20230120,C,2350.0,2645.4828,13,ST,0.0537190082644628,306.2,0.3,2655.755786719217,-0.1223139514592853,PW,1.2713133547192634,-1.0398584674561429
HO2301-P-2350.CFE,2023-01-03,0.3,HO2301-P-2350,000016.SH,20230120,P,2350.0,2645.4828,13,ST,0.0537190082644628,306.2,0.3,2655.755786719217,-0.1223139514592853,PW,1.2713133547192634,-1.0398584674561429
HO2302-C-2350.CFE,2023-01-03,313.20000000000005,HO2302-C-2350,000016.SH,20230217,C,2350.0,2645.4828,28,ST,0.1157024793388429,313.20000000000005,3.1,2660.9233258877684,-0.1242578494024693,PW,0.1874795214496578,0.3719369235043823
HO2302-P-2350.CFE,2023-01-03,3.1,HO2302-P-2350,000016.SH,20230217,P,2350.0,2645.4828,28,ST,0.1157024793388429,313.20000000000005,3.1,2660.9233258877684,-0.1242578494024693,PW,0.1874795214496578,0.3719369235043823
