underlying,moneyness_bucket,tenor_bucket,median_hl,mean_hl,n
CSI 1000,ATM,LT,1.2867763955105938,2.3449402895929654,28
CSI 1000,ATM,MT,0.9453935659272843,1.16093881148521,194
CSI 1000,ATM,ST,1.3002066211818768,2.861755090097305,246
CSI 1000,CW,LT,1.3022530569954611,1.8708178924633874,48
CSI 1000,CW,MT,1.3835063725829004,2.8790657397617356,250
CSI 1000,CW,ST,1.4370706270152256,2.310922413246182,304
CSI 1000,DCW,LT,1.6031141604705534,2.0619272455186453,76
CSI 1000,DCW,MT,1.0648097338925984,1.3649192019078529,59
CSI 1000,DCW,ST,1.2669825917831232,1.7936058116086335,68
CSI 1000,DPW,LT,1.3423371364772942,1.5585673147784997,42
CSI 1000,DPW,MT,1.2624753596270393,1.7696556257943934,54
CSI 1000,DPW,ST,1.179444592508963,1.6361226996803113,74
CSI 1000,PW,LT,0.9356376133028502,1.3410297941271154,30
CSI 1000,PW,MT,1.0199754817147046,2.0472098675766826,146
CSI 1000,PW,ST,1.1150453185903695,1.6921911771986375,176
CSI 300,ATM,LT,1.1937552898999793,2.2418225022698857,44
CSI 300,ATM,MT,0.9666793912981579,2.130865145711107,254
CSI 300,ATM,ST,1.188155420415038,1.5886153669698295,236
CSI 300,CW,LT,1.306281819507121,2.1823966082692254,58
CSI 300,CW,MT,1.2159862111506676,1.5455617625349072,264
CSI 300,CW,ST,1.3362217307147508,2.7384522899533,264
CSI 300,DCW,LT,1.299418342087964,5.384199979751349,34
CSI 300,DCW,MT,1.3548245044824652,1.6699179122795944,38
CSI 300,DCW,ST,1.3130928529278079,2.217330393232539,17
CSI 300,DPW,LT,1.0684272815473717,2.4670470480891633,16
CSI 300,DPW,MT,0.9859151754131336,1.164896078703541,15
CSI 300,DPW,ST,1.5220890178294102,1.6066718115068046,8
CSI 300,PW,LT,1.0920558507909779,1.340754887412237,30
CSI 300,PW,MT,0.9819274603146795,1.2009588776791102,138
CSI 300,PW,ST,1.1305822254323126,9.810722724513264,113
SSE 50,ATM,LT,2.1287293787194392,2.044005569282611,14
SSE 50,ATM,MT,0.9599527599265052,1.3273314711931397,96
SSE 50,ATM,ST,1.2127607273801364,1.7641012407726493,154
SSE 50,CW,LT,1.6243675287056571,2.002579487045153,12
SSE 50,CW,MT,1.193579584190461,1.5196830668840606,95
SSE 50,CW,ST,1.581868756851865,1.9357045536444306,119
SSE 50,DCW,LT,2.7178491488539605,2.7497111518475057,16
SSE 50,DCW,MT,1.2083645162786472,1.083822496994851,10
SSE 50,DCW,ST,1.196869745928864,1.4854806778430665,10
SSE 50,DPW,LT,0.6439439318922222,0.6439439318922222,2
SSE 50,DPW,MT,0.757381509437316,0.7738669329529447,3
SSE 50,DPW,ST,1.6696110145945429,1.6696110145945429,2
SSE 50,PW,LT,1.2514521611465423,2.337126682145188,16
SSE 50,PW,MT,0.8503071224173728,1.212595570022101,46
SSE 50,PW,ST,1.4325803244636774,6.383446114007271,79
