symbol,moneyness_bucket,tenor_bucket,c_j,phi_j,se_phi,t_stat_phi,p_value_phi,r2,n_obs,underlying,index
HO2302-C-2325.CFE,DPW,ST,0.21104638892635633,-0.11801654288671055,0.2397308622964924,-0.49228765022649024,0.6296431115467058,0.01589959397260665,17.0,SSE 50,000016.SH
HO2302-C-2350.CFE,DPW,ST,-0.20342196448644156,0.43185985968051555,0.7094491169528044,0.6087256286052221,0.5540550164985086,0.029953961954000463,14.0,SSE 50,000016.SH
HO2302-C-2375.CFE,DPW,ST,-0.49173528597802174,-0.3158501886197706,0.31626468451724016,-0.998689401891007,0.34403738635423864,0.09976418515925567,11.0,SSE 50,000016.SH
HO2302-C-2400.CFE,DPW,ST,-1.2561355521398778,0.3245931610690595,0.35872783425293686,0.9048452059624422,0.3919817230335696,0.09284142596036793,10.0,SSE 50,000016.SH
HO2302-C-2400.CFE,PW,ST,-0.1286137306369282,0.0034633539940344734,0.15129990995965997,0.022890654693435594,0.9822981516117789,6.549346936124412e-05,10.0,SSE 50,000016.SH
HO2302-C-2425.CFE,PW,ST,-0.6767218465426585,-0.07562266951703933,0.2957086325599495,-0.2557337229636278,0.8028754888035436,0.005910291414217839,13.0,SSE 50,000016.SH
HO2302-C-2450.CFE,PW,ST,-0.8491799743912001,0.32132275065120514,0.7208170626904643,0.44577572768860585,0.6613843438943658,0.011554118307627315,19.0,SSE 50,000016.SH
HO2302-C-2475.CFE,PW,ST,-0.7372797253572472,0.2848906165169379,0.22386026681875507,1.2726269854203074,0.21934404084966527,0.08254914172044747,20.0,SSE 50,000016.SH
HO2302-C-2500.CFE,PW,ST,-0.6891333404181692,-0.1766727184688653,0.23053191613120066,-0.766369886798308,0.4533903781305922,0.031598031066856325,20.0,SSE 50,000016.SH
HO2302-C-2550.CFE,PW,ST,-0.6995808781318216,0.13157070976569243,0.24919764440384065,0.5279773413607142,0.6052384124537685,0.01824494079746164,17.0,SSE 50,000016.SH
HO2302-C-2600.CFE,PW,ST,-0.1766799726172317,0.15093069422209518,0.2579858076490562,0.5850348730322775,0.5678344128981149,0.02386413746427163,16.0,SSE 50,000016.SH
HO2302-C-2650.CFE,ATM,ST,0.39133765405348103,0.02349128665336131,0.3359208239080721,0.06993102237624281,0.9459650265196812,0.0006109200348852761,10.0,SSE 50,000016.SH
HO2302-C-2650.CFE,PW,ST,0.10583482732362484,-0.2388885231404808,0.3410852063046528,-0.7003778490677451,0.5035474473503878,0.057773682166277096,10.0,SSE 50,000016.SH
HO2302-C-2700.CFE,ATM,ST,0.5046660997544796,0.11951211260674048,0.27767798472163135,0.4303982281006175,0.6734578651791553,0.013058827368826798,16.0,SSE 50,000016.SH
HO2302-C-2750.CFE,ATM,ST,0.4235295839178409,0.3849806273936317,0.21097333592571138,1.8247833343697628,0.08467672445188108,0.1561115845278478,20.0,SSE 50,000016.SH
HO2302-C-2800.CFE,ATM,ST,0.3437998097479575,0.2946552562231595,0.22585366999722742,1.3046290380261552,0.20940533047685064,0.09100907635547051,19.0,SSE 50,000016.SH
HO2302-C-2850.CFE,ATM,ST,0.14950641459145264,0.06574777341857134,0.2405464606793428,0.2733267129887873,0.7878949225967348,0.004375330708775604,19.0,SSE 50,000016.SH
HO2302-C-2900.CFE,ATM,ST,0.0047050830463128135,0.6223987830684682,0.27348425976740537,2.2758120836563314,0.048896199455328325,0.3652728344024343,11.0,SSE 50,000016.SH
HO2302-C-2950.CFE,CW,ST,-0.19755091304648856,0.6835444998429608,0.25070849685735375,2.7264512707436435,0.02335982670424145,0.4523394290317573,11.0,SSE 50,000016.SH
HO2302-C-3000.CFE,CW,ST,-0.045029859390901775,0.7462387883588651,0.1673493078069267,4.459168658288157,0.0003445832935741309,0.5390978560789224,19.0,SSE 50,000016.SH
HO2302-C-3050.CFE,CW,ST,-0.10824584815256418,0.7469814637697394,0.15832261626017394,4.718097018698917,0.0004018768223048324,0.6313148618534858,15.0,SSE 50,000016.SH
HO2302-C-3100.CFE,CW,ST,-0.11365544994215036,-0.38135399947249243,0.28135662215475876,-1.3554114936122976,0.20832162428414358,0.16952261051115758,11.0,SSE 50,000016.SH
HO2302-P-2325.CFE,DPW,ST,0.21104638892635633,-0.11801654288671055,0.2397308622964924,-0.49228765022649024,0.6296431115467058,0.01589959397260665,17.0,SSE 50,000016.SH
