group,run_id,lambda_risk,delta,trading_days,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,final_value,mean_daily_return,min_daily_return,max_daily_return,elapsed_seconds,elapsed_minutes,daily_results,return_curve,log
lambda_sweep_delta_5,lambda_10000_delta_5,10000,5,358,4.318807447125594,2.242711916485301,0.5099143578588556,2.557284507540901,4.466590629320611,-0.25248442493000844,8.882575299870501,0.6871508379888268,5.318807447125594,0.005174587648909199,-0.2181913568182327,0.3246467741777156,0.0,0.0,lambda_10000_delta_5_daily_returns.csv,lambda_10000_delta_5_return_curve.png,lambda_10000_delta_5.log
lambda_sweep_delta_5,lambda_12000_delta_5,12000,5,358,3.5262070813947615,1.8945324210875922,0.44155005830735994,2.6310132260635433,4.200155572678417,-0.24219186882762223,7.822444371309624,0.6899441340782123,4.5262070813947615,0.004610016045142034,-0.208292769894621,0.2226649841417388,0.0,0.0,lambda_12000_delta_5_daily_returns.csv,lambda_12000_delta_5_return_curve.png,lambda_12000_delta_5.log
lambda_sweep_delta_5,lambda_14000_delta_5,14000,5,358,2.942790258530089,1.626591478345039,0.3961692062251959,2.6424918500800474,3.9336759665565695,-0.23423137527259263,6.9443791484042325,0.6927374301675978,3.942790258530089,0.004154261502788736,-0.2012387383678705,0.1619666484910872,0.0,0.0,lambda_14000_delta_5_daily_returns.csv,lambda_14000_delta_5_return_curve.png,lambda_14000_delta_5.log
lambda_sweep_delta_5,lambda_16000_delta_5,16000,5,358,2.477292971870796,1.404282436953587,0.36760491559720426,2.5779633720436794,3.666519997511742,-0.22792094646095873,6.161269768130463,0.6955307262569832,3.477292971870796,0.003760603205526987,-0.1960161735407015,0.1570278871726604,0.0,0.0,lambda_16000_delta_5_daily_returns.csv,lambda_16000_delta_5_return_curve.png,lambda_16000_delta_5.log
lambda_sweep_delta_5,lambda_18000_delta_5,18000,5,358,2.1566102933200035,1.24598545076609,0.3554279453624964,2.4614553816853473,3.4631417868388708,-0.22277064837722427,5.593131141119746,0.6871508379888268,3.1566102933200035,0.0034717064639439767,-0.1919541786751255,0.1568875006768838,0.0,0.0,lambda_18000_delta_5_daily_returns.csv,lambda_18000_delta_5_return_curve.png,lambda_18000_delta_5.log
lambda_sweep_delta_5,lambda_20000_delta_5,20000,5,358,1.9146049297116225,1.1233548509845894,0.35185210543906226,2.322700349757654,3.2311155094224926,-0.2184838507928829,5.1415921447187465,0.6871508379888268,2.9146049297116225,0.003243043683993162,-0.1886307266130042,0.1572746708986484,282.642881799984,4.7107146966664,lambda_20000_delta_5_daily_returns.csv,lambda_20000_delta_5_return_curve.png,lambda_20000_delta_5.log
delta_sweep_lambda_10000,lambda_10000_delta_3,10000,3,358,7.151409418106848,3.3795185949968936,0.7807778183133697,2.223687271561832,5.10419947136969,-0.2815879595632559,12.001644531387425,0.6843575418994413,8.151409418106848,0.006889705144846257,-0.2484732662084551,0.6847494873374973,0.0,0.0,lambda_10000_delta_3_daily_returns.csv,lambda_10000_delta_3_return_curve.png,lambda_10000_delta_3.log
delta_sweep_lambda_10000,lambda_10000_delta_4,10000,4,358,5.3985443003359626,2.693253342678221,0.6175911322239398,2.400704270011324,4.763372345443509,-0.26355310950025923,10.219015619982931,0.6927374301675978,6.3985443003359626,0.00588354630258389,-0.2297082299593054,0.478860960791239,0.0,0.0,lambda_10000_delta_4_daily_returns.csv,lambda_10000_delta_4_return_curve.png,lambda_10000_delta_4.log
delta_sweep_lambda_10000,lambda_10000_delta_5_delta_sweep,10000,5,358,4.318807447125594,2.242711916485301,0.5099143578588556,2.557284507540901,4.466590629320611,-0.25248442493000844,8.882575299870501,0.6871508379888268,5.318807447125594,0.005174587648909199,-0.2181913568182327,0.3246467741777156,0.0,0.0,lambda_10000_delta_5_delta_sweep_daily_returns.csv,lambda_10000_delta_5_delta_sweep_return_curve.png,lambda_10000_delta_5_delta_sweep.log
delta_sweep_lambda_10000,lambda_10000_delta_6,10000,6,358,3.6137105130207496,1.93381067040972,0.4471185930637324,2.633816235383917,4.222496763710814,-0.24499554231230825,7.893248392024184,0.6899441340782123,4.61371051302075,0.004673127815687592,-0.2104008900345809,0.2254983832648001,0.0,0.0,lambda_10000_delta_6_daily_returns.csv,lambda_10000_delta_6_return_curve.png,lambda_10000_delta_6.log
delta_sweep_lambda_10000,lambda_10000_delta_7,10000,7,358,3.0683798637414696,1.6852100245382462,0.404787866659631,2.6493215448823104,3.973991044804024,-0.239414655626346,7.0388757953412435,0.6927374301675978,4.06837986374147,0.00425560800098535,-0.2045948885436259,0.166874383172477,0.0,0.0,lambda_10000_delta_7_daily_returns.csv,lambda_10000_delta_7_return_curve.png,lambda_10000_delta_7.log
delta_sweep_lambda_10000,lambda_10000_delta_8,10000,8,358,2.600703161345374,1.4640353854546313,0.37702018583595653,2.588239888305422,3.7080412391773834,-0.2351843408147991,6.225054697019632,0.6955307262569832,3.600703161345374,0.0038722963637974027,-0.2001942913988103,0.1630188642621798,0.0,0.0,lambda_10000_delta_8_daily_returns.csv,lambda_10000_delta_8_return_curve.png,lambda_10000_delta_8.log
delta_sweep_lambda_10000,lambda_10000_delta_9,10000,9,358,2.258679780603035,1.296865097614786,0.36491459984496266,2.4686492986238444,3.486855554051532,-0.2319190612901214,5.591886628035545,0.6927374301675978,3.258679780603035,0.00357478639271773,-0.196751748113104,0.1599735167376371,0.0,0.0,lambda_10000_delta_9_daily_returns.csv,lambda_10000_delta_9_return_curve.png,lambda_10000_delta_9.log
