group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20230120,108,108,1.0,108,66,42,0,0.6111111111111112,0.3888888888888889,-4.2999697869491293e-05,-2.1052105044513917e-05,-1.352766971856636e-05,-2.8613936866055396e-07,-2.687584372730418e-06,8.886853846465586e-09,2.1791328621582196e-08,0,0.0,0.0002480831837614629,0.00021543671735115,236257351.43514708,1442178254.9807844,0,0
20230217,378,378,1.0,378,303,75,0,0.8015873015873016,0.1984126984126984,-8.637994031756594e-05,-3.2875607128081776e-05,-1.209872477846974e-05,-3.300938117125075e-07,-2.5478187834836406e-06,2.192375781403706e-08,5.997456733510997e-08,3,0.007936507936507936,0.00016908201010617732,0.0001190026488399,226273829.81707102,1630826931.352835,0,0
20230317,738,738,1.0,738,488,250,0,0.6612466124661247,0.33875338753387535,-0.0007912778440924122,-0.0003098157956051541,-9.008988319886774e-05,-2.517270367080131e-07,-1.8688253856137982e-05,3.623906291602312e-07,8.274934538863306e-07,4,0.005420054200542005,0.0004610111469997606,0.0003421501453868,19147849.710263137,1559080862.8207288,0,0
20230421,918,918,1.0,918,779,139,0,0.8485838779956427,0.1514161220043573,-1.1590119753204112e-05,-6.041554634751273e-06,-1.9503885597026927e-06,-3.0890508864325823e-08,-3.9443843212655933e-07,3.2046825531599666e-09,2.2835438858645027e-08,17,0.018518518518518517,0.00011092222415581586,8.458024617931042e-05,904744093.1101077,4143192076.4691677,0,0
20230519,953,953,1.0,953,806,147,0,0.8457502623294858,0.15424973767051417,-1.0663161702655397e-05,-4.969457882345113e-06,-1.8013896913576379e-06,-4.776115835059994e-08,-3.767782092342418e-07,3.5005652744894436e-09,2.7435172527421253e-08,7,0.007345225603357817,0.00010299195184741255,7.196026859281583e-05,932529619.696206,3655369922.9431033,0,0
20230616,1445,1445,1.0,1445,1300,145,0,0.8996539792387543,0.10034602076124567,-0.00045210417709699266,-0.00012237194508962185,-4.891150971531161e-05,-2.7963474094640565e-06,-1.112580075624193e-05,7.989952369618509e-08,1.1798976062334344e-06,0,0.0,0.00042284041236220657,0.0003716402697859,15503343.94810825,246157315.15742245,0,0
20230721,936,936,1.0,936,772,164,0,0.8247863247863247,0.1752136752136752,-2.655971081443145e-06,-1.2081968592495955e-06,-6.521226286986642e-07,-2.739906974466534e-08,-1.3493730299741067e-07,8.811268375808572e-09,6.021639346598075e-08,14,0.014957264957264958,0.00013759338088219482,0.00010816466224645001,832488947.6690148,4899031897.59088,0,0
20230818,990,990,1.0,990,812,178,0,0.8202020202020202,0.1797979797979798,-1.606900073889751e-06,-7.98840816424145e-07,-3.9403071145657217e-07,-1.865928081001335e-08,-7.703119843300433e-08,4.366563289402766e-09,2.8427555004255092e-08,23,0.023232323232323233,0.00013555743120833829,9.832248197084127e-05,1136920647.6391048,4555786012.138956,0,0
20230915,1466,1466,1.0,1466,1244,222,0,0.8485675306957708,0.15143246930422918,-0.0006378593112170201,-0.00012974928995034013,-4.3585345664444344e-05,-3.0123659108129144e-06,-1.1795310009723341e-05,8.176413203308454e-08,5.970930849568283e-07,0,0.0,0.00035397329354895147,0.00028612089146035,35387468.24878142,120426995.86320455,0,0
20231020,918,918,1.0,918,822,96,0,0.8954248366013072,0.10457516339869281,-0.00020316188796066736,-5.58942935577879e-05,-1.3824109333774041e-05,-3.711560975150991e-07,-3.3692796311623796e-06,9.212737756377228e-09,7.489962278286027e-08,1,0.0010893246187363835,0.00012463381812391486,8.223669205495729e-05,271421850.199491,1553328056.976898,0,0
20231117,918,918,1.0,918,796,122,0,0.8671023965141612,0.1328976034858388,-0.00018243187760481812,-2.4072301041295942e-05,-6.6029174172561875e-06,-9.381172895372658e-08,-1.4275421473568598e-06,3.3951928769199216e-09,5.1310591751410776e-08,5,0.0054466230936819175,0.00012153635513450454,8.747245767559589e-05,599999821.9856235,1913166252.677443,0,0
20231215,1472,1472,1.0,1472,1419,53,0,0.9639945652173914,0.036005434782608696,-0.002427571389442834,-0.0005181546390855105,-0.00016897442412470382,-8.99544058690069e-06,-4.0847837974630194e-05,-1.6945994821668413e-08,2.2312811664691795e-07,1,0.0006793478260869565,0.00023895939286531356,0.00018480789957545,45648391.32181245,290517300.889888,0,0
20240119,1005,1005,1.0,1005,913,92,0,0.9084577114427861,0.09154228855721393,-0.00010529490890099474,-5.160960602650532e-05,-1.5587576752787227e-05,-3.551388669600952e-07,-3.250581060685998e-06,1.7601206441630142e-09,2.776320537253385e-08,4,0.003980099502487562,0.0001113769759270895,8.088175857647524e-05,451764533.743488,2162582809.614565,0,0
20240219,917,917,1.0,917,871,46,0,0.9498364231188658,0.05016357688113413,-7.671359782576117e-05,-3.8794057057870407e-05,-1.853324970958121e-05,-7.991807412407852e-07,-3.822991859060493e-06,5.9761717575653456e-12,6.853207754112599e-08,4,0.004362050163576881,8.405789473419823e-05,6.016317777881531e-05,433076430.119994,2843607031.9106054,0,0
20240315,1416,1416,1.0,1416,1341,75,0,0.9470338983050848,0.05296610169491525,-0.01462183451200253,-0.0016590493056484069,-0.000511493554901124,-1.9585521665203584e-05,-0.00014667527157624673,5.063043993362016e-09,1.643267993708371e-05,0,0.0,0.00030764643464084536,0.00021442324080699998,16595669.14776893,76741801.79188831,0,0
20240419,882,882,1.0,882,721,161,0,0.8174603174603174,0.18253968253968253,-0.0005267775600114196,-0.00017299508299674905,-5.288555754871807e-05,-2.5824161872558744e-07,-9.610338060784925e-06,1.600026873212071e-08,7.432904379895691e-07,20,0.022675736961451247,0.00041273023263891517,0.0001331259346609,388040190.4315046,2487629795.2305555,0,0
20240517,917,917,1.0,917,765,152,0,0.8342420937840785,0.16575790621592149,-2.542975838232145e-05,-9.127016581844998e-06,-2.835602354361384e-06,-5.892871739115967e-08,-6.24297472947161e-07,1.98849905293628e-09,1.244431795550005e-07,30,0.03271537622682661,0.0001422174490722731,6.771005957024139e-05,1054455740.0582454,6632802021.834936,0,0
20240621,1444,1444,1.0,1444,1250,194,0,0.8656509695290858,0.13434903047091412,-0.003610592060508743,-0.001472552410934016,-0.0005036588645505943,-1.2050709975253104e-05,-0.00010291660543138695,2.156178089251951e-07,3.505650738626783e-06,0,0.0,0.00044884952098063317,0.0002999129832372,13055683.028984845,142942890.78972057,0,0
20240719,943,943,1.0,943,795,148,0,0.8430540827147401,0.1569459172852598,-1.2836827733224304e-05,-4.455136753346875e-06,-2.039142078267518e-06,-5.6761913387229514e-08,-3.9179389906794686e-07,1.7860627973326171e-09,3.734310501547479e-08,12,0.012725344644750796,0.00011457361464925883,7.301593095544598e-05,1034210496.9469664,4767243778.454165,0,0
20240816,995,995,1.0,995,876,119,0,0.8804020100502512,0.11959798994974874,-0.00012332300551488908,-2.591482198581068e-05,-9.353720309527988e-06,-2.958926543732345e-07,-2.007176367453808e-06,2.191235555696579e-09,5.318846208390312e-08,15,0.01507537688442211,0.00012737115395946373,6.1025291582853856e-05,661694023.659695,6373672168.537203,0,0
20240920,1370,1370,1.0,1370,992,378,0,0.724087591240876,0.2759124087591241,-0.0006026010745015982,-0.00010132199296059682,-4.215296267695468e-05,-1.063106488234794e-06,-9.177002865617908e-06,1.1933976542992235e-07,9.204656344119375e-07,3,0.0021897810218978104,0.00047091683202063727,0.00034320742430515,34880745.815072045,298190060.07111216,0,0
20241018,885,885,1.0,885,808,77,0,0.9129943502824859,0.08700564971751412,-0.26280111150332996,-0.0001694972477701343,-1.028769632386788e-05,-3.363046086139337e-07,-0.0003069473886574105,1.6779619692160676e-09,0.011579386545171766,10,0.011299435028248588,0.0002454263793828364,6.354597662279472e-05,523840923.6235264,2953205288.4449034,0,0
20241115,864,863,0.9988425925925926,863,703,160,0,0.8146002317497103,0.1853997682502897,-0.003972824126605874,-0.001230011012562696,-0.00014666641719744239,-3.7811848314036575e-07,-5.023913874851367e-05,9.348622661612163e-07,1.2378147146255378e-05,0,0.0,0.00044788196413678784,0.0001218617983592,286054805.3413039,3220358722.3181844,0,0
20241220,1370,1369,0.9992700729927008,1369,1040,329,0,0.7596785975164354,0.24032140248356465,-0.005730302547328254,-0.0016966075368048139,-0.00036221757838191996,-6.568067539780896e-06,-9.489311159825416e-05,1.6780343382643009e-06,0.00011020523189966461,0,0.0,0.0007253545972583687,0.0004224905593681,11213502.0547213,136181772.79329047,0,0
20250117,1004,1004,1.0,1004,898,106,0,0.8944223107569721,0.10557768924302789,-0.001092712820011896,-0.00014080263020708973,-5.5539573733005615e-05,-1.9168325437229054e-06,-1.356715879563011e-05,1.0071020873201348e-08,5.519110384674876e-07,2,0.00199203187250996,0.0002404797297151886,9.665659405360213e-05,206196156.03680277,1131893177.1657495,0,0
20250221,982,982,1.0,982,900,82,0,0.9164969450101833,0.0835030549898167,-6.880295670100285e-05,-2.3835255408988726e-05,-9.140722809227743e-06,-3.993737333619644e-07,-1.9211374332825434e-06,4.638730524715558e-09,5.976726014198427e-08,7,0.007128309572301426,0.00013471852920778996,7.494147835645276e-05,320429207.358923,2047167438.8092217,0,0
20250321,1371,1371,1.0,1371,1030,341,0,0.75127644055434,0.2487235594456601,-0.005875169759811021,-0.001748585985430583,-0.0006128277165156661,-1.0492545251455403e-05,-0.00012669712458221843,1.404027207862486e-06,1.2775167247489884e-05,0,0.0,0.0008356332255397052,0.0005754892241723,5959761.779506831,47516466.883394495,0,0
20250418,857,856,0.9988331388564761,856,718,138,0,0.8387850467289719,0.16121495327102803,-0.00042095600707841294,-2.6237429256786434e-05,-1.2787019061518512e-05,-3.179710931993543e-07,-2.452491293521826e-06,1.362197061028571e-08,0.00039056897555264614,0,0.0,0.00018249375446510884,7.534192537810189e-05,416745153.0334312,2268697837.104597,0,0
20250516,829,829,1.0,829,789,40,0,0.9517490952955368,0.04825090470446321,-0.0010804515170321585,-0.0005707490033503986,-0.00013441562802294233,-1.4649894291633584e-06,-2.833288454225458e-05,-7.699374735625098e-10,6.19180120691019e-08,0,0.0,9.801920305526298e-05,5.865528092993575e-05,459235500.6651037,2456765547.163212,0,0
