group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20230120,108,108,1.0,108,81,27,0,0.75,0.25,-5.4830525572512894e-05,-1.6668126193463875e-05,-1.0939891988883587e-05,-7.486689597130369e-07,-2.995460859644984e-06,1.0010486811023208e-09,1.687055549031719e-09,7,0.06481481481481481,0.00024191519847538938,0.0001942846561511,722972728.8967482,4115374296.5565615,0,0
20230217,378,378,1.0,378,364,14,0,0.9629629629629629,0.037037037037037035,-8.181952698183031e-05,-3.586340329400834e-05,-1.571160301910292e-05,-6.874692741023935e-07,-3.3705833809916526e-06,-9.692787966380448e-10,4.541462613012855e-09,2,0.005291005291005291,0.00015250212629921552,0.0001061708236546,495061436.72882855,2586351558.472376,0,0
20230317,738,738,1.0,738,692,46,0,0.9376693766937669,0.06233062330623306,-0.0006920937994027606,-0.00022614314292875005,-8.336518916616986e-05,-1.5107051241812165e-06,-1.692544760036086e-05,1.0711826163369615e-09,1.0653377833603506e-07,1,0.0013550135501355014,0.0004110813648528219,0.0003280976602576,63844337.44921874,2118281291.891499,0,0
20230421,918,918,1.0,918,864,54,0,0.9411764705882353,0.058823529411764705,-1.0595235960338365e-05,-5.087542526986469e-06,-1.8480532291038424e-06,-4.2646319364532424e-08,-3.6540424589414367e-07,4.917478078401374e-11,2.508704314803803e-09,17,0.018518518518518517,0.00010204137936743737,7.912370790586528e-05,1529741164.0008454,5850725945.452223,0,0
20230519,953,953,1.0,953,872,81,0,0.9150052465897167,0.08499475341028331,-1.3192697829990255e-05,-5.134684439528257e-06,-1.9349311112525867e-06,-5.87891972805425e-08,-4.0203552064989383e-07,6.19708017792156e-10,3.5713916714257812e-09,10,0.01049317943336831,9.394605668059868e-05,6.684193275939349e-05,1593772040.652754,5278588176.061555,0,0
20230616,1445,1445,1.0,1445,1421,24,0,0.9833910034602076,0.01660899653979239,-0.000337403128771951,-0.00011069572974919155,-4.308832209998843e-05,-3.3290575068573246e-06,-1.0540145010055412e-05,-4.285445702824119e-08,2.0737141260179827e-07,0,0.0,0.000364467138374479,0.0003447867315301,45337573.71865974,520346348.34747934,0,0
20230721,936,936,1.0,936,844,92,0,0.9017094017094017,0.09829059829059829,-2.8369378836019264e-06,-1.3019537857240643e-06,-6.591087333316448e-07,-2.895667316659809e-08,-1.3433589607350373e-07,8.074068542878063e-10,1.2770219776111678e-08,22,0.023504273504273504,0.00013585603960726314,0.00010512709352275001,1537151103.355068,6203978590.11017,0,0
20230818,990,990,1.0,990,896,94,0,0.9050505050505051,0.09494949494949495,-1.363489744788148e-06,-6.514669435479688e-07,-3.3987724955295737e-07,-1.929766606427091e-08,-7.063151507242576e-08,1.9768321468522788e-10,4.949494191779613e-09,39,0.03939393939393939,0.00012661390431506055,9.275863962341952e-05,2204276086.0461197,6705598598.387399,0,0
20230915,1466,1466,1.0,1466,1402,64,0,0.956343792633015,0.04365620736698499,-0.000575148989097208,-0.00014298886452513885,-4.6176854419508655e-05,-3.686621402137731e-06,-1.2603510440600272e-05,-1.0215583556718324e-08,1.622305471811648e-07,0,0.0,0.0003123230524302078,0.00026133692278435005,84517007.65101635,224705661.52102128,0,0
20231020,918,918,1.0,918,891,27,0,0.9705882352941176,0.029411764705882353,-0.00011084098633045834,-5.955740173016579e-05,-1.5517120815979102e-05,-4.4691864820373355e-07,-3.295452916549468e-06,-7.301789593319474e-09,1.5484149215442194e-08,0,0.0,0.00011143152187538233,7.922440575268636e-05,457391665.26467025,2161797030.4772577,0,0
